ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T22:50:40Z,celmis-api,0.28,245.6,6928.38,3.54,32.0,7.44,18.3,28.6,17
2026-08-20T22:50:40Z,celmis-postgres,0.03,31.72,6928.38,0.46,6.15,5.58,5.05,32.5,11
2026-08-20T22:50:40Z,celmis-web,0.01,83.38,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:50:40Z,celmis-sandbox,0.03,43.22,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:50:40Z,celmis-qdrant,0.12,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:50:46Z,celmis-api,1.58,245.5,6928.38,3.54,32.0,7.44,18.3,28.6,17
2026-08-20T22:50:46Z,celmis-postgres,0.00,31.69,6928.38,0.46,6.15,5.58,5.05,32.5,11
2026-08-20T22:50:46Z,celmis-web,1.62,83.35,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:50:46Z,celmis-sandbox,0.02,43.21,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:50:46Z,celmis-qdrant,1.32,246.2,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:50:51Z,celmis-api,3.86,245.3,6928.38,3.54,32.0,7.45,18.3,28.6,15
2026-08-20T22:50:51Z,celmis-postgres,1.59,31.84,6928.38,0.46,6.16,5.59,5.05,32.5,11
2026-08-20T22:50:51Z,celmis-web,0.15,83.35,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:50:51Z,celmis-sandbox,0.03,43.21,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:50:51Z,celmis-qdrant,0.09,246.2,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:50:57Z,celmis-api,0.34,245.3,6928.38,3.54,32.0,7.45,18.3,28.6,15
2026-08-20T22:50:57Z,celmis-postgres,0.00,31.45,6928.38,0.45,6.16,5.59,5.05,32.5,11
2026-08-20T22:50:57Z,celmis-web,0.00,83.35,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:50:57Z,celmis-sandbox,0.02,43.21,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:50:57Z,celmis-qdrant,0.09,246.2,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:02Z,celmis-api,0.29,245.2,6928.38,3.54,32.0,7.45,18.3,28.6,15
2026-08-20T22:51:02Z,celmis-postgres,0.03,31.69,6928.38,0.46,6.16,5.59,5.05,32.5,11
2026-08-20T22:51:02Z,celmis-web,0.02,83.39,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:02Z,celmis-sandbox,0.04,43.21,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:02Z,celmis-qdrant,0.13,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:08Z,celmis-api,0.30,245.2,6928.38,3.54,32.0,7.45,18.3,28.6,15
2026-08-20T22:51:08Z,celmis-postgres,0.04,31.68,6928.38,0.46,6.16,5.59,5.05,32.5,11
