ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T20:53:50Z,celmis-api,0.31,168.1,6928.38,2.43,27.0,5.31,17.8,24.6,11
2026-08-20T20:53:50Z,celmis-postgres,0.00,29.81,6928.38,0.43,4.89,4.43,4.85,29.4,10
2026-08-20T20:53:50Z,celmis-web,0.01,81.84,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:53:50Z,celmis-sandbox,0.03,39.45,3072.0,1.28,0.0,0.0,1.86,0.0,3
2026-08-20T20:53:50Z,celmis-qdrant,0.10,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:53:56Z,celmis-api,0.71,167.7,6928.38,2.42,27.0,5.31,17.8,24.6,11
2026-08-20T20:53:56Z,celmis-postgres,0.15,29.5,6928.38,0.43,4.9,4.44,4.85,29.4,10
2026-08-20T20:53:56Z,celmis-web,0.00,81.74,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:53:56Z,celmis-sandbox,0.03,39.45,3072.0,1.28,0.0,0.0,1.86,0.0,3
2026-08-20T20:53:56Z,celmis-qdrant,0.08,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:54:01Z,celmis-api,0.91,167.7,6928.38,2.42,27.1,5.32,17.8,24.6,11
2026-08-20T20:54:01Z,celmis-postgres,0.00,29.72,6928.38,0.43,4.9,4.44,4.85,29.4,10
2026-08-20T20:54:01Z,celmis-web,0.00,81.74,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:54:01Z,celmis-sandbox,0.03,39.45,3072.0,1.28,0.0,0.0,1.86,0.0,3
2026-08-20T20:54:01Z,celmis-qdrant,0.09,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:54:07Z,celmis-api,2.71,167.8,6928.38,2.42,27.1,5.32,18.0,24.7,11
2026-08-20T20:54:07Z,celmis-postgres,0.00,29.79,6928.38,0.43,4.9,4.44,4.85,29.4,10
2026-08-20T20:54:07Z,celmis-web,2.43,82.29,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:54:07Z,celmis-sandbox,0.04,39.88,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:54:07Z,celmis-qdrant,1.31,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:54:12Z,celmis-api,0.30,167.8,6928.38,2.42,27.1,5.32,18.0,24.7,11
2026-08-20T20:54:12Z,celmis-postgres,1.58,29.81,6928.38,0.43,4.9,4.44,4.85,29.4,10
2026-08-20T20:54:12Z,celmis-web,0.00,82.27,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:54:12Z,celmis-sandbox,0.03,39.88,3072.0,1.30,0.0,0.0,1.86,0.0,3
