ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T20:55:20Z,celmis-api,1.37,216.8,6928.38,3.13,27.1,5.35,18.0,24.7,12
2026-08-20T20:55:20Z,celmis-postgres,0.04,29.89,6928.38,0.43,4.92,4.46,4.85,29.4,10
2026-08-20T20:55:20Z,celmis-web,0.00,81.93,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:20Z,celmis-sandbox,0.03,39.68,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:20Z,celmis-qdrant,0.05,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:55:25Z,celmis-api,0.88,167.9,6928.38,2.42,27.1,5.36,18.1,24.8,11
2026-08-20T20:55:25Z,celmis-postgres,0.25,29.87,6928.38,0.43,4.94,4.48,4.99,29.5,10
2026-08-20T20:55:25Z,celmis-web,0.01,82.24,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:25Z,celmis-sandbox,0.04,39.68,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:25Z,celmis-qdrant,0.13,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:55:31Z,celmis-api,0.66,167.9,6928.38,2.42,27.1,5.37,18.1,24.8,11
2026-08-20T20:55:31Z,celmis-postgres,0.03,30.06,6928.38,0.43,4.94,4.48,4.99,29.5,10
2026-08-20T20:55:31Z,celmis-web,0.01,82.24,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:31Z,celmis-sandbox,0.03,39.68,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:31Z,celmis-qdrant,0.09,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:55:37Z,celmis-api,0.26,167.9,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:55:37Z,celmis-postgres,0.04,30.06,6928.38,0.43,4.94,4.48,4.99,29.5,10
2026-08-20T20:55:37Z,celmis-web,0.01,82.24,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:37Z,celmis-sandbox,0.04,39.64,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:37Z,celmis-qdrant,0.08,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:55:42Z,celmis-api,0.27,167.8,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:55:42Z,celmis-postgres,0.05,29.79,6928.38,0.43,4.94,4.48,4.99,29.5,10
2026-08-20T20:55:42Z,celmis-web,0.00,82.08,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:42Z,celmis-sandbox,0.03,39.6,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:42Z,celmis-qdrant,0.09,246.8,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:55:48Z,celmis-api,0.27,167.9,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:55:48Z,celmis-postgres,0.06,29.86,6928.38,0.43,4.95,4.48,4.99,29.5,10
2026-08-20T20:55:48Z,celmis-web,0.01,82.08,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:48Z,celmis-sandbox,0.04,39.6,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:48Z,celmis-qdrant,0.07,246.8,6928.38,3.56,0.03,0.02,71.5,0.01,26
2026-08-20T20:55:53Z,celmis-api,0.26,167.8,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:55:53Z,celmis-postgres,1.62,30.14,6928.38,0.44,4.95,4.49,4.99,29.5,10
2026-08-20T20:55:53Z,celmis-web,0.01,82.14,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:53Z,celmis-sandbox,0.02,39.6,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:53Z,celmis-qdrant,0.07,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,26
2026-08-20T20:55:59Z,celmis-api,0.27,167.8,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:55:59Z,celmis-postgres,0.04,29.75,6928.38,0.43,4.95,4.49,4.99,29.5,10
2026-08-20T20:55:59Z,celmis-web,0.04,82.09,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:55:59Z,celmis-sandbox,0.03,39.6,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:55:59Z,celmis-qdrant,0.05,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:56:05Z,celmis-api,0.26,167.8,6928.38,2.42,27.2,5.37,18.1,24.8,11
2026-08-20T20:56:05Z,celmis-postgres,0.00,29.93,6928.38,0.43,4.95,4.49,4.99,29.5,10
2026-08-20T20:56:05Z,celmis-web,0.01,82.09,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:05Z,celmis-sandbox,0.03,39.6,3072.0,1.29,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:05Z,celmis-qdrant,0.12,246.5,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:56:10Z,celmis-api,12.96,167.9,6928.38,2.42,27.2,5.38,18.1,24.8,11
2026-08-20T20:56:10Z,celmis-postgres,0.16,29.73,6928.38,0.43,4.96,4.5,4.99,29.5,10
2026-08-20T20:56:10Z,celmis-web,0.01,81.96,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:10Z,celmis-sandbox,0.03,39.86,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:10Z,celmis-qdrant,0.07,246.6,6928.38,3.56,0.03,0.02,71.5,0.01,25
2026-08-20T20:56:16Z,celmis-api,0.89,167.9,6928.38,2.42,27.2,5.38,18.1,24.8,11
2026-08-20T20:56:16Z,celmis-postgres,0.22,29.97,6928.38,0.43,4.96,4.5,4.99,29.5,10
2026-08-20T20:56:16Z,celmis-web,0.01,81.96,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:16Z,celmis-sandbox,0.02,39.86,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:16Z,celmis-qdrant,0.11,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:21Z,celmis-api,36.18,167.9,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:21Z,celmis-postgres,0.04,29.97,6928.38,0.43,4.96,4.5,4.99,29.5,10
2026-08-20T20:56:21Z,celmis-web,0.00,81.96,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:21Z,celmis-sandbox,0.02,39.86,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:21Z,celmis-qdrant,0.09,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:27Z,celmis-api,0.30,167.8,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:27Z,celmis-postgres,0.00,29.98,6928.38,0.43,4.96,4.5,4.99,29.5,10
2026-08-20T20:56:27Z,celmis-web,0.01,81.99,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:27Z,celmis-sandbox,0.03,39.86,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:27Z,celmis-qdrant,0.08,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:32Z,celmis-api,0.26,167.8,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:32Z,celmis-postgres,0.00,29.97,6928.38,0.43,4.96,4.5,4.99,29.5,10
2026-08-20T20:56:32Z,celmis-web,0.01,81.99,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:32Z,celmis-sandbox,0.03,39.86,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:32Z,celmis-qdrant,0.09,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:38Z,celmis-api,0.25,167.9,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:38Z,celmis-postgres,2.17,29.99,6928.38,0.43,4.97,4.5,4.99,29.5,10
2026-08-20T20:56:38Z,celmis-web,0.02,82.0,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:38Z,celmis-sandbox,0.03,40.04,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:38Z,celmis-qdrant,1.29,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:43Z,celmis-api,0.26,167.9,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:43Z,celmis-postgres,2.69,29.73,6928.38,0.43,4.97,4.5,4.99,29.5,10
2026-08-20T20:56:43Z,celmis-web,0.02,82.0,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:43Z,celmis-sandbox,0.02,40.04,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:43Z,celmis-qdrant,0.07,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:49Z,celmis-api,0.27,167.9,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:49Z,celmis-postgres,1.67,30.03,6928.38,0.43,4.97,4.51,4.99,29.5,10
2026-08-20T20:56:49Z,celmis-web,0.01,82.0,6928.38,1.18,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:49Z,celmis-sandbox,0.03,40.04,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:49Z,celmis-qdrant,0.08,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T20:56:55Z,celmis-api,0.31,167.7,6928.38,2.42,27.2,5.39,18.1,24.8,11
2026-08-20T20:56:55Z,celmis-postgres,0.00,30.14,6928.38,0.44,4.97,4.51,4.99,29.5,10
2026-08-20T20:56:55Z,celmis-web,0.00,82.23,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:56:55Z,celmis-sandbox,0.03,40.04,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:56:55Z,celmis-qdrant,0.08,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T20:57:00Z,celmis-api,0.36,167.9,6928.38,2.42,27.2,5.4,18.1,24.8,11
2026-08-20T20:57:00Z,celmis-postgres,0.00,29.63,6928.38,0.43,4.97,4.51,4.99,29.5,10
2026-08-20T20:57:00Z,celmis-web,0.00,82.23,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:57:00Z,celmis-sandbox,0.03,40.04,3072.0,1.30,0.0,0.0,1.86,0.0,3
2026-08-20T20:57:00Z,celmis-qdrant,0.08,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T20:57:06Z,celmis-api,8.15,178.0,6928.38,2.57,27.2,5.4,18.1,24.8,12
2026-08-20T20:57:06Z,celmis-postgres,0.44,29.91,6928.38,0.43,4.97,4.51,4.99,29.5,10
2026-08-20T20:57:06Z,celmis-web,0.00,82.23,6928.38,1.19,0.37,0.48,14.8,0.0,12
2026-08-20T20:57:06Z,celmis-sandbox,12.78,40.21,3072.0,1.31,0.0,0.0,1.86,0.0,3
2026-08-20T20:57:06Z,celmis-qdrant,0.07,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T20:57:11Z,celmis-api,0.69,168.1,6928.38,2.43,27.2,5.41,18.1,24.9,11
2026-08-20T20:57:11Z,celmis-postgres,0.00,29.96,6928.38,0.43,4.98,4.52,4.99,29.6,10
2026-08-20T20:57:11Z,celmis-web,0.00,82.0,6928.38,1.18,0.37,0.48,14.8,0.0,12
