ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T21:35:13Z,celmis-api,47.58,294.3,6928.38,4.25,31.4,6.97,18.2,28.3,16
2026-08-20T21:35:13Z,celmis-postgres,0.06,31.85,6928.38,0.46,5.78,5.24,5.03,31.5,11
2026-08-20T21:35:13Z,celmis-web,1.46,82.65,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:13Z,celmis-sandbox,0.03,42.05,3072.0,1.37,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:13Z,celmis-qdrant,0.85,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:19Z,celmis-api,0.28,495.3,6928.38,7.15,31.6,7.03,18.2,28.4,21
2026-08-20T21:35:19Z,celmis-postgres,0.19,35.8,6928.38,0.52,5.79,5.26,5.03,31.5,13
2026-08-20T21:35:19Z,celmis-web,0.01,82.54,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:19Z,celmis-sandbox,0.02,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:19Z,celmis-qdrant,0.11,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:24Z,celmis-api,0.61,495.3,6928.38,7.15,31.6,7.03,18.2,28.4,21
2026-08-20T21:35:24Z,celmis-postgres,0.15,35.29,6928.38,0.51,5.79,5.26,5.03,31.5,13
2026-08-20T21:35:24Z,celmis-web,0.01,82.54,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:24Z,celmis-sandbox,0.02,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:24Z,celmis-qdrant,0.12,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:30Z,celmis-api,0.34,495.8,6928.38,7.16,31.6,7.04,18.2,28.4,22
2026-08-20T21:35:30Z,celmis-postgres,0.00,37.34,6928.38,0.54,5.79,5.26,5.03,31.5,14
2026-08-20T21:35:30Z,celmis-web,0.01,82.59,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:30Z,celmis-sandbox,0.04,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:30Z,celmis-qdrant,0.11,246.9,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:36Z,celmis-api,0.26,498.2,6928.38,7.19,31.6,7.05,18.2,28.4,22
2026-08-20T21:35:36Z,celmis-postgres,0.04,37.32,6928.38,0.54,5.8,5.26,5.03,31.6,14
2026-08-20T21:35:36Z,celmis-web,0.01,82.59,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:36Z,celmis-sandbox,0.04,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:36Z,celmis-qdrant,0.12,246.9,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:41Z,celmis-api,0.29,498.4,6928.38,7.19,31.6,7.06,18.2,28.4,22
2026-08-20T21:35:41Z,celmis-postgres,0.03,37.52,6928.38,0.54,5.8,5.27,5.03,31.6,14
2026-08-20T21:35:41Z,celmis-web,0.01,82.59,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:41Z,celmis-sandbox,0.04,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:41Z,celmis-qdrant,0.11,246.9,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:47Z,celmis-api,0.31,498.1,6928.38,7.19,31.6,7.06,18.2,28.4,22
2026-08-20T21:35:47Z,celmis-postgres,0.00,37.61,6928.38,0.54,5.8,5.27,5.03,31.6,14
2026-08-20T21:35:47Z,celmis-web,0.01,82.3,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:47Z,celmis-sandbox,0.03,41.73,3072.0,1.36,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:47Z,celmis-qdrant,0.16,246.8,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:52Z,celmis-api,0.32,498.1,6928.38,7.19,31.6,7.06,18.2,28.4,22
2026-08-20T21:35:52Z,celmis-postgres,0.00,37.35,6928.38,0.54,5.8,5.27,5.03,31.6,14
2026-08-20T21:35:52Z,celmis-web,0.01,82.3,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:52Z,celmis-sandbox,0.02,42.14,3072.0,1.37,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:52Z,celmis-qdrant,0.12,246.8,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:35:58Z,celmis-api,2.72,498.4,6928.38,7.19,31.6,7.06,18.2,28.4,22
2026-08-20T21:35:58Z,celmis-postgres,0.14,37.59,6928.38,0.54,5.8,5.27,5.03,31.6,14
2026-08-20T21:35:58Z,celmis-web,0.02,82.39,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:35:58Z,celmis-sandbox,0.03,42.14,3072.0,1.37,0.0,0.0,1.86,0.0,3
2026-08-20T21:35:58Z,celmis-qdrant,1.35,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:36:04Z,celmis-api,0.40,498.3,6928.38,7.19,31.6,7.06,18.2,28.4,22
2026-08-20T21:36:04Z,celmis-postgres,0.05,37.38,6928.38,0.54,5.81,5.27,5.03,31.6,14
