ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T21:13:50Z,celmis-api,28.59,333.0,6928.38,4.81,30.3,6.11,18.2,27.8,16
2026-08-20T21:13:50Z,celmis-postgres,0.01,31.36,6928.38,0.45,5.34,4.86,4.99,30.4,11
2026-08-20T21:13:50Z,celmis-web,0.00,81.96,6928.38,1.18,0.47,0.57,14.8,0.0,12
2026-08-20T21:13:50Z,celmis-sandbox,0.04,41.11,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:13:50Z,celmis-qdrant,0.04,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:13:56Z,celmis-api,0.22,495.1,6928.38,7.15,30.4,6.24,18.2,27.9,21
2026-08-20T21:13:56Z,celmis-postgres,1.46,35.43,6928.38,0.51,5.35,4.87,4.99,30.4,13
2026-08-20T21:13:56Z,celmis-web,0.01,82.43,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:13:56Z,celmis-sandbox,0.02,41.11,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:13:56Z,celmis-qdrant,0.08,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:01Z,celmis-api,0.59,497.8,6928.38,7.18,30.4,6.26,18.2,27.9,21
2026-08-20T21:14:01Z,celmis-postgres,0.18,35.13,6928.38,0.51,5.35,4.87,4.99,30.4,13
2026-08-20T21:14:01Z,celmis-web,0.00,82.43,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:01Z,celmis-sandbox,0.03,41.11,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:01Z,celmis-qdrant,0.05,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:07Z,celmis-api,0.78,497.8,6928.38,7.18,30.4,6.26,18.2,27.9,21
2026-08-20T21:14:07Z,celmis-postgres,0.17,35.47,6928.38,0.51,5.36,4.87,4.99,30.4,13
2026-08-20T21:14:07Z,celmis-web,0.01,82.43,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:07Z,celmis-sandbox,0.03,41.11,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:07Z,celmis-qdrant,0.08,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:12Z,celmis-api,0.49,497.9,6928.38,7.19,30.4,6.27,18.2,27.9,21
2026-08-20T21:14:12Z,celmis-postgres,0.10,35.34,6928.38,0.51,5.36,4.87,4.99,30.4,13
2026-08-20T21:14:12Z,celmis-web,0.01,82.49,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:12Z,celmis-sandbox,0.02,41.03,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:12Z,celmis-qdrant,0.10,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:18Z,celmis-api,0.25,498.6,6928.38,7.20,30.4,6.33,18.2,27.9,22
2026-08-20T21:14:18Z,celmis-postgres,0.03,37.57,6928.38,0.54,5.36,4.88,5.03,30.4,14
2026-08-20T21:14:18Z,celmis-web,0.00,82.49,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:18Z,celmis-sandbox,0.02,41.03,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:18Z,celmis-qdrant,0.07,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:24Z,celmis-api,0.17,498.6,6928.38,7.20,30.4,6.33,18.2,27.9,22
2026-08-20T21:14:24Z,celmis-postgres,0.58,37.34,6928.38,0.54,5.36,4.88,5.03,30.4,14
2026-08-20T21:14:24Z,celmis-web,0.00,82.49,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:24Z,celmis-sandbox,0.03,41.03,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:24Z,celmis-qdrant,0.08,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:30Z,celmis-api,0.19,498.5,6928.38,7.19,30.4,6.33,18.2,27.9,22
2026-08-20T21:14:30Z,celmis-postgres,0.00,37.26,6928.38,0.54,5.37,4.88,5.03,30.4,14
2026-08-20T21:14:30Z,celmis-web,0.02,82.53,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:30Z,celmis-sandbox,0.03,41.03,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:30Z,celmis-qdrant,0.08,246.3,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:36Z,celmis-api,0.16,498.5,6928.38,7.19,30.4,6.33,18.2,28.0,22
2026-08-20T21:14:36Z,celmis-postgres,1.66,37.32,6928.38,0.54,5.37,4.88,5.03,30.4,14
2026-08-20T21:14:36Z,celmis-web,0.00,82.53,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:36Z,celmis-sandbox,0.02,41.03,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:36Z,celmis-qdrant,0.08,246.3,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:41Z,celmis-api,0.17,498.7,6928.38,7.20,30.5,6.34,18.2,28.0,22
2026-08-20T21:14:41Z,celmis-postgres,1.19,37.26,6928.38,0.54,5.37,4.89,5.03,30.5,14
2026-08-20T21:14:41Z,celmis-web,0.18,82.73,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:41Z,celmis-sandbox,14.83,41.25,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:41Z,celmis-qdrant,0.06,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:47Z,celmis-api,0.62,498.7,6928.38,7.20,30.5,6.34,18.2,28.0,22
2026-08-20T21:14:47Z,celmis-postgres,0.14,37.42,6928.38,0.54,5.38,4.89,5.03,30.5,14
2026-08-20T21:14:47Z,celmis-web,0.01,82.65,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:47Z,celmis-sandbox,0.03,41.21,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:47Z,celmis-qdrant,0.09,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T21:14:52Z,celmis-api,0.55,498.7,6928.38,7.20,30.5,6.34,18.2,28.0,22
2026-08-20T21:14:52Z,celmis-postgres,0.80,37.21,6928.38,0.54,5.38,4.89,5.03,30.5,14
2026-08-20T21:14:52Z,celmis-web,0.01,82.65,6928.38,1.19,0.47,0.57,14.8,0.0,12
2026-08-20T21:14:52Z,celmis-sandbox,0.02,41.21,3072.0,1.34,0.0,0.0,1.86,0.0,3
2026-08-20T21:14:52Z,celmis-qdrant,0.06,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
