ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-21T09:23:54Z,celmis-api,0.32,615.1,6928.38,8.88,13.6,13.6,315.0,1546.24,18
2026-08-21T09:23:54Z,celmis-postgres,0.03,78.11,6928.38,1.13,7.04,4.36,42.9,13.3,17
2026-08-21T09:23:54Z,celmis-web,0.01,180.1,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:23:54Z,celmis-sandbox,0.03,37.66,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:23:54Z,celmis-qdrant,0.85,237.6,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:02Z,celmis-api,0.40,615.3,6928.38,8.88,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:02Z,celmis-postgres,1.87,78.55,6928.38,1.13,7.04,4.37,42.9,13.3,17
2026-08-21T09:24:02Z,celmis-web,0.01,180.1,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:02Z,celmis-sandbox,0.03,37.66,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:02Z,celmis-qdrant,0.09,237.6,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:09Z,celmis-api,0.27,615.9,6928.38,8.89,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:09Z,celmis-postgres,0.05,78.34,6928.38,1.13,7.04,4.37,42.9,13.3,17
2026-08-21T09:24:09Z,celmis-web,0.01,179.9,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:09Z,celmis-sandbox,0.03,37.66,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:09Z,celmis-qdrant,0.15,237.6,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:17Z,celmis-api,0.52,615.9,6928.38,8.89,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:17Z,celmis-postgres,0.07,78.12,6928.38,1.13,7.05,4.37,42.9,13.3,17
2026-08-21T09:24:17Z,celmis-web,0.00,179.9,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:17Z,celmis-sandbox,0.03,37.66,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:17Z,celmis-qdrant,0.12,237.5,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:25Z,celmis-api,0.27,615.6,6928.38,8.88,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:25Z,celmis-postgres,0.34,78.09,6928.38,1.13,7.05,4.37,42.9,13.4,17
2026-08-21T09:24:25Z,celmis-web,0.00,180.1,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:25Z,celmis-sandbox,0.03,37.78,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:25Z,celmis-qdrant,0.12,237.7,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:32Z,celmis-api,2.13,617.8,6928.38,8.92,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:32Z,celmis-postgres,0.12,78.16,6928.38,1.13,7.05,4.37,42.9,13.4,17
2026-08-21T09:24:32Z,celmis-web,0.00,180.1,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:32Z,celmis-sandbox,0.03,37.78,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:32Z,celmis-qdrant,0.10,237.7,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:40Z,celmis-api,0.25,617.8,6928.38,8.92,13.6,13.6,315.0,1546.24,18
2026-08-21T09:24:40Z,celmis-postgres,0.00,78.39,6928.38,1.13,7.05,4.38,42.9,13.4,17
2026-08-21T09:24:40Z,celmis-web,0.00,179.9,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:40Z,celmis-sandbox,0.03,37.78,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:40Z,celmis-qdrant,1.22,237.9,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:48Z,celmis-api,0.54,617.7,6928.38,8.92,13.7,13.6,315.0,1546.24,18
2026-08-21T09:24:48Z,celmis-postgres,0.20,77.9,6928.38,1.12,7.05,4.38,42.9,13.4,17
2026-08-21T09:24:48Z,celmis-web,0.01,179.9,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:48Z,celmis-sandbox,0.03,37.78,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:48Z,celmis-qdrant,0.08,237.8,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:24:55Z,celmis-api,0.35,624.4,6928.38,9.01,13.7,13.6,315.0,1566.72,13
2026-08-21T09:24:55Z,celmis-postgres,0.03,78.21,6928.38,1.13,7.06,4.38,42.9,13.4,17
2026-08-21T09:24:55Z,celmis-web,0.03,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:24:55Z,celmis-sandbox,0.02,37.71,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:24:55Z,celmis-qdrant,0.07,238.0,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:02Z,celmis-api,0.54,625.0,6928.38,9.02,13.7,13.6,315.0,1597.44,13
2026-08-21T09:25:02Z,celmis-postgres,0.09,78.23,6928.38,1.13,7.06,4.38,42.9,13.4,17
2026-08-21T09:25:02Z,celmis-web,0.01,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:02Z,celmis-sandbox,0.02,37.71,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:02Z,celmis-qdrant,0.10,238.0,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:10Z,celmis-api,44.48,625.4,6928.38,9.03,13.7,13.6,315.0,1617.92,13
2026-08-21T09:25:10Z,celmis-postgres,0.73,78.3,6928.38,1.13,7.06,4.38,42.9,13.4,17
2026-08-21T09:25:10Z,celmis-web,0.01,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:10Z,celmis-sandbox,0.02,37.71,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:10Z,celmis-qdrant,0.07,237.9,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:18Z,celmis-api,0.72,625.5,6928.38,9.03,13.7,13.6,315.0,1638.4,13
2026-08-21T09:25:18Z,celmis-postgres,0.08,78.13,6928.38,1.13,7.06,4.39,42.9,13.4,17
2026-08-21T09:25:18Z,celmis-web,0.02,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:18Z,celmis-sandbox,0.08,37.71,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:18Z,celmis-qdrant,0.13,237.9,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:25Z,celmis-api,0.32,625.8,6928.38,9.03,13.7,13.6,315.0,1669.12,13
2026-08-21T09:25:25Z,celmis-postgres,0.01,77.98,6928.38,1.13,7.07,4.39,42.9,13.4,17
2026-08-21T09:25:25Z,celmis-web,0.03,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:25Z,celmis-sandbox,0.03,37.62,3072.0,1.22,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:25Z,celmis-qdrant,0.08,237.8,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:32Z,celmis-api,0.58,626.9,6928.38,9.05,13.7,13.7,315.0,1679.36,13
2026-08-21T09:25:32Z,celmis-postgres,0.09,78.16,6928.38,1.13,7.09,4.41,42.9,13.4,17
2026-08-21T09:25:32Z,celmis-web,0.01,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:32Z,celmis-sandbox,0.04,37.62,3072.0,1.22,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:32Z,celmis-qdrant,0.08,237.8,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:40Z,celmis-api,0.50,614.9,6928.38,8.87,13.9,13.8,315.0,1679.36,17
2026-08-21T09:25:40Z,celmis-postgres,0.01,76.74,6928.38,1.11,7.1,4.43,42.9,13.4,16
2026-08-21T09:25:40Z,celmis-web,0.11,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:40Z,celmis-sandbox,0.04,37.62,3072.0,1.22,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:40Z,celmis-qdrant,0.14,238.0,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:48Z,celmis-api,0.44,614.8,6928.38,8.87,13.9,13.8,315.0,1679.36,17
2026-08-21T09:25:48Z,celmis-postgres,1.76,76.49,6928.38,1.10,7.11,4.43,42.9,13.4,16
2026-08-21T09:25:48Z,celmis-web,0.00,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:48Z,celmis-sandbox,0.02,37.62,3072.0,1.22,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:48Z,celmis-qdrant,0.08,238.0,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:25:55Z,celmis-api,0.25,614.6,6928.38,8.87,13.9,13.8,315.0,1679.36,17
2026-08-21T09:25:55Z,celmis-postgres,0.03,76.3,6928.38,1.10,7.11,4.43,42.9,13.4,16
2026-08-21T09:25:55Z,celmis-web,0.00,180.0,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:25:55Z,celmis-sandbox,0.04,37.8,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:25:55Z,celmis-qdrant,1.40,238.0,6928.38,3.44,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:02Z,celmis-api,0.47,615.1,6928.38,8.88,13.9,13.8,315.0,1679.36,18
2026-08-21T09:26:02Z,celmis-postgres,0.08,78.19,6928.38,1.13,7.11,4.44,42.9,13.4,17
2026-08-21T09:26:02Z,celmis-web,0.00,180.0,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:02Z,celmis-sandbox,0.03,37.8,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:02Z,celmis-qdrant,0.06,237.9,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:10Z,celmis-api,0.15,615.2,6928.38,8.88,13.9,13.8,315.0,1679.36,18
2026-08-21T09:26:10Z,celmis-postgres,0.09,78.28,6928.38,1.13,7.12,4.44,42.9,13.5,17
2026-08-21T09:26:10Z,celmis-web,0.00,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:10Z,celmis-sandbox,0.02,37.8,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:10Z,celmis-qdrant,1.15,237.6,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:18Z,celmis-api,0.51,615.2,6928.38,8.88,13.9,13.8,315.0,1679.36,18
2026-08-21T09:26:18Z,celmis-postgres,1.90,78.05,6928.38,1.13,7.12,4.44,42.9,13.5,17
2026-08-21T09:26:18Z,celmis-web,0.00,180.2,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:18Z,celmis-sandbox,0.03,37.8,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:18Z,celmis-qdrant,0.08,237.5,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:25Z,celmis-api,0.14,615.6,6928.38,8.88,14.0,13.8,315.0,1679.36,18
2026-08-21T09:26:25Z,celmis-postgres,0.00,78.17,6928.38,1.13,7.12,4.44,42.9,13.5,17
2026-08-21T09:26:25Z,celmis-web,0.00,180.3,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:25Z,celmis-sandbox,0.03,37.73,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:25Z,celmis-qdrant,0.94,237.7,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:32Z,celmis-api,0.48,615.6,6928.38,8.88,14.0,13.8,315.0,1679.36,18
2026-08-21T09:26:32Z,celmis-postgres,0.03,78.25,6928.38,1.13,7.12,4.44,42.9,13.5,17
2026-08-21T09:26:32Z,celmis-web,0.00,180.3,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:32Z,celmis-sandbox,0.02,37.73,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:32Z,celmis-qdrant,0.07,237.7,6928.38,3.43,0.01,0.01,71.3,0.0,25
2026-08-21T09:26:40Z,celmis-api,0.52,615.5,6928.38,8.88,14.0,13.8,315.0,1679.36,18
2026-08-21T09:26:40Z,celmis-postgres,0.00,78.21,6928.38,1.13,7.13,4.45,42.9,13.5,17
2026-08-21T09:26:40Z,celmis-web,0.00,179.9,6928.38,2.60,0.07,0.08,122.0,0.0,12
2026-08-21T09:26:40Z,celmis-sandbox,0.03,37.73,3072.0,1.23,0.0,0.0,15.0,0.0,3
2026-08-21T09:26:40Z,celmis-qdrant,0.09,237.9,6928.38,3.43,0.01,0.01,71.3,0.0,25
