ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-21T13:01:22Z,celmis-api,44.08,168.9,6928.38,2.44,0.02,0.02,0.0,0.02,11
2026-08-21T13:01:22Z,celmis-postgres,1.50,66.53,6928.38,0.96,14.0,8.5,43.2,28.4,10
2026-08-21T13:01:22Z,celmis-web,0.01,188.6,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:22Z,celmis-sandbox,0.02,48.48,3072.0,1.58,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:22Z,celmis-qdrant,0.06,241.9,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:01:29Z,celmis-api,0.31,374.3,6928.38,5.40,0.18,0.07,0.0,0.16,17
2026-08-21T13:01:29Z,celmis-postgres,0.00,69.96,6928.38,1.01,14.0,8.51,43.2,28.4,12
2026-08-21T13:01:29Z,celmis-web,0.01,188.6,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:29Z,celmis-sandbox,0.03,48.48,3072.0,1.58,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:29Z,celmis-qdrant,0.13,241.9,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:01:37Z,celmis-api,0.27,374.6,6928.38,5.41,0.19,0.07,0.0,0.16,18
2026-08-21T13:01:37Z,celmis-postgres,1.70,71.53,6928.38,1.03,14.0,8.52,43.2,28.5,13
2026-08-21T13:01:37Z,celmis-web,0.01,188.5,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:37Z,celmis-sandbox,0.03,49.41,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:37Z,celmis-qdrant,0.13,241.5,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:01:44Z,celmis-api,0.29,375.0,6928.38,5.41,0.19,0.08,0.0,0.16,18
2026-08-21T13:01:44Z,celmis-postgres,0.02,71.96,6928.38,1.04,14.0,8.52,43.2,28.5,13
2026-08-21T13:01:44Z,celmis-web,0.01,188.5,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:44Z,celmis-sandbox,0.03,49.41,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:44Z,celmis-qdrant,0.14,241.5,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:01:52Z,celmis-api,0.67,375.4,6928.38,5.42,0.22,0.09,0.0,0.17,18
2026-08-21T13:01:52Z,celmis-postgres,0.12,72.0,6928.38,1.04,14.0,8.52,43.2,28.5,13
2026-08-21T13:01:52Z,celmis-web,0.02,189.0,6928.38,2.73,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:52Z,celmis-sandbox,0.02,49.41,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:52Z,celmis-qdrant,0.18,241.9,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:01:59Z,celmis-api,0.30,375.1,6928.38,5.41,0.23,0.09,0.0,0.17,18
2026-08-21T13:01:59Z,celmis-postgres,0.07,71.8,6928.38,1.04,14.0,8.52,43.2,28.5,13
2026-08-21T13:01:59Z,celmis-web,0.00,189.0,6928.38,2.73,0.27,0.29,123.0,0.0,12
2026-08-21T13:01:59Z,celmis-sandbox,0.03,49.41,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:01:59Z,celmis-qdrant,0.14,241.9,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:02:07Z,celmis-api,0.29,375.1,6928.38,5.41,0.23,0.09,0.0,0.17,18
2026-08-21T13:02:07Z,celmis-postgres,1.91,71.96,6928.38,1.04,14.0,8.52,43.2,28.5,13
2026-08-21T13:02:07Z,celmis-web,0.01,188.7,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:02:07Z,celmis-sandbox,0.03,49.33,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:02:07Z,celmis-qdrant,0.16,241.6,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:02:14Z,celmis-api,0.58,382.4,6928.38,5.52,0.25,2.47,0.0,0.17,18
2026-08-21T13:02:14Z,celmis-postgres,0.38,72.28,6928.38,1.04,16.4,8.54,43.2,29.4,13
2026-08-21T13:02:14Z,celmis-web,0.00,188.7,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:02:14Z,celmis-sandbox,0.03,49.33,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:02:14Z,celmis-qdrant,0.13,241.6,6928.38,3.49,0.03,0.02,71.3,0.0,25
2026-08-21T13:02:22Z,celmis-api,0.33,382.3,6928.38,5.52,0.25,2.48,0.0,0.29,12
2026-08-21T13:02:22Z,celmis-postgres,0.06,72.13,6928.38,1.04,16.4,8.54,43.2,29.4,13
2026-08-21T13:02:22Z,celmis-web,0.01,188.6,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:02:22Z,celmis-sandbox,0.09,49.33,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:02:22Z,celmis-qdrant,0.13,241.4,6928.38,3.48,0.03,0.02,71.3,0.0,25
2026-08-21T13:02:29Z,celmis-api,0.57,382.2,6928.38,5.52,0.26,2.49,0.0,0.29,12
2026-08-21T13:02:29Z,celmis-postgres,0.17,72.1,6928.38,1.04,16.4,8.54,43.2,29.4,13
2026-08-21T13:02:29Z,celmis-web,0.00,188.6,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:02:29Z,celmis-sandbox,0.02,49.33,3072.0,1.61,0.0,0.0,15.0,0.0,3
2026-08-21T13:02:29Z,celmis-qdrant,0.08,241.4,6928.38,3.48,0.03,0.02,71.3,0.0,25
2026-08-21T13:02:37Z,celmis-api,0.83,382.4,6928.38,5.52,0.3,2.51,0.0,0.29,12
2026-08-21T13:02:37Z,celmis-postgres,1.64,72.29,6928.38,1.04,16.4,8.56,43.2,29.4,13
2026-08-21T13:02:37Z,celmis-web,0.00,188.7,6928.38,2.72,0.27,0.29,123.0,0.0,12
2026-08-21T13:02:37Z,celmis-sandbox,0.02,49.25,3072.0,1.60,0.0,0.0,15.0,0.0,3
2026-08-21T13:02:37Z,celmis-qdrant,0.16,241.5,6928.38,3.49,0.03,0.02,71.3,0.0,25
