ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-21T17:11:47Z,celmis-web,0.00,73.23,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:11:47Z,celmis-api,44.18,323.0,6928.38,4.66,4.61,4.66,19.2,124.0,21
2026-08-21T17:11:47Z,celmis-postgres,0.02,35.82,6928.38,0.52,22.0,11.5,43.2,41.1,11
2026-08-21T17:11:47Z,celmis-sandbox,0.01,46.09,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:11:47Z,celmis-qdrant,0.10,178.4,6928.38,2.58,0.04,0.03,71.3,0.0,25
2026-08-21T17:11:54Z,celmis-web,0.01,73.23,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:11:54Z,celmis-api,0.54,567.2,6928.38,8.19,4.81,4.87,19.2,125.0,27
2026-08-21T17:11:54Z,celmis-postgres,0.09,41.29,6928.38,0.60,22.0,11.6,43.2,41.2,14
2026-08-21T17:11:54Z,celmis-sandbox,0.03,46.02,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:11:54Z,celmis-qdrant,1.35,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T17:12:02Z,celmis-web,0.01,73.58,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:12:02Z,celmis-api,0.47,567.2,6928.38,8.19,4.82,4.87,19.2,125.0,27
2026-08-21T17:12:02Z,celmis-postgres,0.12,41.25,6928.38,0.60,22.0,11.6,43.2,41.2,14
2026-08-21T17:12:02Z,celmis-sandbox,0.03,46.02,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:12:02Z,celmis-qdrant,0.07,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T17:12:09Z,celmis-web,0.01,73.58,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:12:09Z,celmis-api,0.60,567.4,6928.38,8.19,4.83,4.88,19.2,125.0,27
2026-08-21T17:12:09Z,celmis-postgres,0.01,41.33,6928.38,0.60,22.0,11.6,43.2,41.2,14
2026-08-21T17:12:09Z,celmis-sandbox,0.03,46.02,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:12:09Z,celmis-qdrant,0.07,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T17:12:17Z,celmis-web,0.01,73.31,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:12:17Z,celmis-api,0.55,567.3,6928.38,8.19,4.85,4.89,19.2,125.0,22
2026-08-21T17:12:17Z,celmis-postgres,0.02,41.38,6928.38,0.60,22.0,11.6,43.2,41.2,14
2026-08-21T17:12:17Z,celmis-sandbox,0.03,46.02,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:12:17Z,celmis-qdrant,0.10,178.4,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T17:12:24Z,celmis-web,0.01,73.31,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T17:12:24Z,celmis-api,54.44,349.7,6928.38,5.05,4.97,4.99,19.2,125.0,21
2026-08-21T17:12:24Z,celmis-postgres,0.35,36.15,6928.38,0.52,22.1,11.7,43.2,41.2,11
2026-08-21T17:12:24Z,celmis-sandbox,0.02,45.94,3072.0,1.50,0.0,0.0,15.7,0.0,3
2026-08-21T17:12:24Z,celmis-qdrant,0.56,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T17:12:31Z,celmis-web,0.01,73.02,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T17:12:31Z,celmis-api,0.22,566.4,6928.38,8.18,5.14,5.11,19.2,125.0,26
2026-08-21T17:12:31Z,celmis-postgres,0.10,39.64,6928.38,0.57,22.1,11.7,43.2,41.2,13
