ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-21T15:07:01Z,celmis-web,0.00,71.61,6928.38,1.03,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:01Z,celmis-api,42.62,313.6,6928.38,4.53,2.54,3.15,4.52,2.37,16
2026-08-21T15:07:01Z,celmis-postgres,0.00,35.76,6928.38,0.52,21.3,10.9,43.2,39.3,11
2026-08-21T15:07:01Z,celmis-sandbox,0.01,44.61,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:01Z,celmis-qdrant,0.04,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:09Z,celmis-web,0.02,72.07,6928.38,1.04,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:09Z,celmis-api,0.25,561.8,6928.38,8.11,2.7,3.19,4.6,2.49,21
2026-08-21T15:07:09Z,celmis-postgres,1.70,39.83,6928.38,0.57,21.3,10.9,43.2,39.3,13
2026-08-21T15:07:09Z,celmis-sandbox,0.02,44.61,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:09Z,celmis-qdrant,0.12,178.1,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:16Z,celmis-web,0.01,72.07,6928.38,1.04,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:16Z,celmis-api,2.54,561.9,6928.38,8.11,2.7,3.2,4.6,2.49,21
2026-08-21T15:07:16Z,celmis-postgres,0.80,39.48,6928.38,0.57,21.3,10.9,43.2,39.3,13
2026-08-21T15:07:16Z,celmis-sandbox,0.03,44.53,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:16Z,celmis-qdrant,0.14,178.1,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:24Z,celmis-web,0.00,72.79,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:24Z,celmis-api,0.53,561.7,6928.38,8.11,2.7,3.2,4.6,2.49,21
2026-08-21T15:07:24Z,celmis-postgres,2.01,39.28,6928.38,0.57,21.3,10.9,43.2,39.4,13
2026-08-21T15:07:24Z,celmis-sandbox,0.03,44.53,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:24Z,celmis-qdrant,0.13,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:32Z,celmis-web,0.01,72.79,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:32Z,celmis-api,0.56,561.7,6928.38,8.11,2.7,3.2,4.6,2.49,21
2026-08-21T15:07:32Z,celmis-postgres,0.12,39.28,6928.38,0.57,21.3,10.9,43.2,39.4,13
2026-08-21T15:07:32Z,celmis-sandbox,0.03,44.53,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:32Z,celmis-qdrant,0.12,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:38Z,celmis-web,2.28,72.77,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:38Z,celmis-api,0.26,561.9,6928.38,8.11,2.7,3.2,4.6,2.49,21
2026-08-21T15:07:38Z,celmis-postgres,0.00,39.54,6928.38,0.57,21.3,10.9,43.2,39.4,13
2026-08-21T15:07:38Z,celmis-sandbox,0.03,44.53,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:38Z,celmis-qdrant,0.15,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:45Z,celmis-web,0.01,72.57,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:45Z,celmis-api,0.26,562.6,6928.38,8.12,2.73,3.22,4.61,2.54,22
2026-08-21T15:07:45Z,celmis-postgres,0.15,41.36,6928.38,0.60,21.3,10.9,43.2,39.4,14
2026-08-21T15:07:45Z,celmis-sandbox,0.03,44.7,3072.0,1.46,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:45Z,celmis-qdrant,0.13,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:07:53Z,celmis-web,2.62,72.91,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:07:53Z,celmis-api,0.96,562.8,6928.38,8.12,2.75,3.23,4.61,2.54,22
2026-08-21T15:07:53Z,celmis-postgres,0.04,41.13,6928.38,0.59,21.3,10.9,43.2,39.6,14
2026-08-21T15:07:53Z,celmis-sandbox,0.01,44.7,3072.0,1.46,0.0,0.0,15.7,0.0,3
2026-08-21T15:07:53Z,celmis-qdrant,0.19,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:00Z,celmis-web,0.01,72.7,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:00Z,celmis-api,0.25,562.7,6928.38,8.12,2.76,3.23,4.61,2.54,22
2026-08-21T15:08:00Z,celmis-postgres,0.02,41.48,6928.38,0.60,21.3,10.9,43.2,39.6,14
2026-08-21T15:08:00Z,celmis-sandbox,0.03,44.7,3072.0,1.46,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:00Z,celmis-qdrant,0.15,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:08Z,celmis-web,2.33,73.29,6928.38,1.06,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:08Z,celmis-api,0.26,562.7,6928.38,8.12,2.76,3.23,4.61,2.54,22
2026-08-21T15:08:08Z,celmis-postgres,0.04,41.29,6928.38,0.60,21.3,10.9,43.2,39.6,14
2026-08-21T15:08:08Z,celmis-sandbox,0.03,44.7,3072.0,1.46,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:08Z,celmis-qdrant,0.12,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:15Z,celmis-web,0.01,72.9,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:15Z,celmis-api,0.28,562.4,6928.38,8.12,2.77,3.24,4.61,2.66,17
2026-08-21T15:08:15Z,celmis-postgres,1.94,41.28,6928.38,0.60,21.4,10.9,43.2,39.7,14
2026-08-21T15:08:15Z,celmis-sandbox,0.03,44.62,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:15Z,celmis-qdrant,0.12,178.2,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:23Z,celmis-web,0.00,72.9,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:23Z,celmis-api,2.04,562.3,6928.38,8.12,2.77,3.25,4.61,2.66,17
2026-08-21T15:08:23Z,celmis-postgres,0.33,41.33,6928.38,0.60,21.4,10.9,43.2,39.7,14
2026-08-21T15:08:23Z,celmis-sandbox,0.03,44.62,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:23Z,celmis-qdrant,0.12,178.4,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:30Z,celmis-web,0.01,72.55,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:30Z,celmis-api,0.28,562.2,6928.38,8.11,2.77,3.25,4.61,2.66,17
2026-08-21T15:08:30Z,celmis-postgres,0.03,41.41,6928.38,0.60,21.4,10.9,43.2,39.7,14
2026-08-21T15:08:30Z,celmis-sandbox,0.04,44.62,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:30Z,celmis-qdrant,0.14,178.4,6928.38,2.57,0.04,0.03,71.3,0.0,25
2026-08-21T15:08:38Z,celmis-web,1.84,72.7,6928.38,1.05,0.12,0.27,9.84,0.0,12
2026-08-21T15:08:38Z,celmis-api,6.75,562.7,6928.38,8.12,2.8,3.27,4.61,2.66,17
2026-08-21T15:08:38Z,celmis-postgres,2.69,41.14,6928.38,0.59,21.4,11.0,43.2,39.7,14
2026-08-21T15:08:38Z,celmis-sandbox,0.02,44.62,3072.0,1.45,0.0,0.0,15.7,0.0,3
2026-08-21T15:08:38Z,celmis-qdrant,0.11,178.3,6928.38,2.57,0.04,0.03,71.3,0.0,25
