ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-21T21:29:41Z,celmis-web,0.04,82.46,6928.38,1.19,0.36,0.63,10.3,0.0,12
2026-08-21T21:29:41Z,celmis-api,54.28,379.2,6928.38,5.47,17.8,15.1,31.8,615.0,16
2026-08-21T21:29:41Z,celmis-postgres,1.00,39.8,6928.38,0.57,27.2,16.3,43.2,54.9,13
2026-08-21T21:29:41Z,celmis-sandbox,0.04,58.83,3072.0,1.92,0.0,0.0,18.0,0.0,3
2026-08-21T21:29:41Z,celmis-qdrant,0.30,177.9,6928.38,2.57,0.06,0.04,71.3,0.0,25
2026-08-21T21:29:48Z,celmis-web,0.01,82.46,6928.38,1.19,0.36,0.63,10.3,0.0,12
2026-08-21T21:29:48Z,celmis-api,0.28,581.0,6928.38,8.39,18.0,15.1,31.8,616.0,21
2026-08-21T21:29:48Z,celmis-postgres,0.05,43.47,6928.38,0.63,27.2,16.3,43.2,54.9,15
2026-08-21T21:29:48Z,celmis-sandbox,0.07,58.83,3072.0,1.92,0.0,0.0,18.0,0.0,3
2026-08-21T21:29:48Z,celmis-qdrant,0.11,177.9,6928.38,2.57,0.06,0.04,71.3,0.0,25
2026-08-21T21:29:56Z,celmis-web,0.03,82.16,6928.38,1.19,0.36,0.63,10.3,0.0,12
2026-08-21T21:29:56Z,celmis-api,0.31,581.1,6928.38,8.39,18.0,15.1,31.8,616.0,21
2026-08-21T21:29:56Z,celmis-postgres,0.00,43.6,6928.38,0.63,27.2,16.3,43.2,54.9,15
2026-08-21T21:29:56Z,celmis-sandbox,0.03,59.25,3072.0,1.93,0.0,0.0,18.0,0.0,3
2026-08-21T21:29:56Z,celmis-qdrant,0.12,178.1,6928.38,2.57,0.06,0.04,71.3,0.0,25
2026-08-21T21:30:03Z,celmis-web,0.01,82.16,6928.38,1.19,0.36,0.63,10.3,0.0,12
2026-08-21T21:30:03Z,celmis-api,0.36,581.1,6928.38,8.39,18.0,15.1,31.8,616.0,21
2026-08-21T21:30:03Z,celmis-postgres,0.85,45.48,6928.38,0.66,27.2,16.3,43.2,55.0,16
2026-08-21T21:30:03Z,celmis-sandbox,0.03,59.25,3072.0,1.93,0.0,0.0,18.0,0.0,3
2026-08-21T21:30:03Z,celmis-qdrant,0.14,178.1,6928.38,2.57,0.06,0.04,71.3,0.0,25
2026-08-21T21:30:11Z,celmis-web,0.01,82.17,6928.38,1.19,0.36,0.63,10.3,0.0,12
2026-08-21T21:30:11Z,celmis-api,2.79,582.0,6928.38,8.40,18.0,15.1,31.8,616.0,22
2026-08-21T21:30:11Z,celmis-postgres,2.53,45.3,6928.38,0.65,27.2,16.3,43.2,55.0,16
