fork,pr,status,findings,verdict,agents_run,agents_failed,tokens_in,tokens_out,seconds,log
celmis-bench/cal.diy,1,complete,7,changes,structural|quality|tests|security|architect,-,34406,19181,109.5,review-celmis-bench_cal.diy_1.log
celmis-bench/cal.diy,2,partial,6,comment,structural|tests|quality|security,architect,58208,27068,86.0,review-celmis-bench_cal.diy_2.log
celmis-bench/cal.diy,3,complete,9,changes,structural|security|tests|quality|architect,-,83731,25441,65.1,review-celmis-bench_cal.diy_3.log
celmis-bench/cal.diy,4,partial,1,comment,structural|tests|security|quality,architect,24508,13326,45.8,review-celmis-bench_cal.diy_4.log
celmis-bench/cal.diy,5,complete,8,changes,structural|tests|quality|security|architect,-,48066,21225,86.2,review-celmis-bench_cal.diy_5.log
celmis-bench/cal.diy,6,complete,6,changes,structural|security|tests|quality|architect,-,19978,14986,58.5,review-celmis-bench_cal.diy_6.log
celmis-bench/cal.diy,7,partial,1,comment,structural|security|architect,tests|quality,53246,19169,98.2,review-celmis-bench_cal.diy_7.log
celmis-bench/cal.diy,8,partial,5,comment,structural|quality|architect|tests,security,8122,10014,49.2,review-celmis-bench_cal.diy_8.log
celmis-bench/cal.diy,9,partial,2,comment,structural|tests|architect,quality|security,25346,9216,91.3,review-celmis-bench_cal.diy_9.log
celmis-bench/cal.diy,10,partial,6,comment,structural|tests|security|quality,architect,30029,12197,70.5,review-celmis-bench_cal.diy_10.log
celmis-bench/discourse-graphite,1,complete,6,changes,structural|tests|quality|security|architect,-,11053,15489,57.9,review-celmis-bench_discourse-graphite_1.log
celmis-bench/discourse-graphite,2,complete,8,changes,structural|architect|tests|quality|security,-,41891,19814,63.6,review-celmis-bench_discourse-graphite_2.log
celmis-bench/discourse-graphite,3,complete,9,comment,structural|tests|architect|security|quality,-,23157,20901,91.1,review-celmis-bench_discourse-graphite_3.log
celmis-bench/discourse-graphite,4,partial,7,comment,structural|tests|quality|architect,security,68071,31754,99.4,review-celmis-bench_discourse-graphite_4.log
celmis-bench/discourse-graphite,5,complete,2,comment,structural|tests|security|quality|architect,-,9024,8085,51.8,review-celmis-bench_discourse-graphite_5.log
celmis-bench/discourse-graphite,6,partial,1,comment,structural|quality|tests|security,architect,7206,9875,44.7,review-celmis-bench_discourse-graphite_6.log
celmis-bench/discourse-graphite,7,complete,0,approve,structural|security|tests|quality|architect,-,83426,12463,61.3,review-celmis-bench_discourse-graphite_7.log
celmis-bench/discourse-graphite,8,partial,1,comment,structural|tests|security|architect,quality,52690,21173,93.7,review-celmis-bench_discourse-graphite_8.log
celmis-bench/discourse-graphite,9,complete,4,comment,structural|tests|security|quality|architect,-,7894,9586,79.6,review-celmis-bench_discourse-graphite_9.log
celmis-bench/discourse-graphite,10,partial,0,comment,structural|security|tests|quality,architect,56315,17437,90.7,review-celmis-bench_discourse-graphite_10.log
celmis-bench/fork-probe-keycloak,2,complete,2,comment,structural|security|tests|architect|quality,-,57297,19647,79.9,review-celmis-bench_fork-probe-keycloak_2.log
celmis-bench/grafana,1,complete,1,approve,structural|tests|security|quality|architect,-,28111,17707,54.5,review-fork-grafana1.log
celmis-bench/grafana,2,partial,4,comment,structural|tests|quality|security,architect,46405,34902,102.1,review-celmis-bench_grafana_2.log
celmis-bench/grafana,3,partial,0,comment,structural|tests|security|quality,architect,28330,10275,67.6,review-celmis-bench_grafana_3.log
celmis-bench/grafana,4,complete,0,approve,structural|tests|quality|security|architect,-,12440,10334,77.3,review-celmis-bench_grafana_4.log
celmis-bench/grafana,5,complete,1,comment,structural|architect|security|tests|quality,-,74760,15264,124.1,review-celmis-bench_grafana_5.log
celmis-bench/grafana,6,partial,0,comment,structural|security|tests,quality|architect,51622,10557,96.8,review-celmis-bench_grafana_6.log
